n°,titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
63,GocoronaGo,GocoronaGo website shows the latest COVID-19 (CoronaVirus) stats in India along with charts  maps and Growth Rate. Le Covid-19 en statistiques en Inde.,INFOS/DATA,,INITIATIVE/APP,STAT,NR,,https://gocoronago.ml/,,,,,,,NA,NA,NA,INDE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_stat_2.png?raw=true,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
64,coronastatistics.live,Get the latest toll numbers for the Novel Coronavirus epidemic  see affected regions  stats  casualties and more information to track  stay vigilant and travel safe. Le Covid-19 en statistiques et cartographie dans le monde et par pays. ,INFOS/DATA,,INITIATIVE/APP,STAT/CARTO,NR,,https://coronastatistics.live/,,,,,,,NA,NA,NA,INTERNATIONAL,https://coronastatistics.live/assets/images/logo-light.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
65,covidstatus.com,CovidStatus - A location-aware app with clean UI that puts you at the center of local covid-19 news with realtime updates. Le Covid-19 en statistiques et cartographie dans le monde et par pays. ,INFOS/DATA,,INITIATIVE/APP,STAT,NR,,http://covidstatus.com/,,,,,,,NA,NA,NA,INTERNATIONAL,http://covidstatus.com/img/logoCovid.fc9b1131.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
66,COVID-19 Tracker Ita,Charts with the data on the emergency of Codiv-19 in Italy with data provided by the Department of Civil Protection. Le Covid-19 en statistiques en Italie.,INFOS/DATA,,INITIATIVE/APP,STAT,NR,,https://polilluminato.github.io/covid19trackerita/,,,,,,,NA,NA,NA,ITALIE,https://polilluminato.github.io/covid19trackerita/img/icona.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,it,JPy,NR,,OUI,
67,worldcoronavirus.org,Coronavirus (COVID-19) Pandemic Global Information & Statistics. Le Covid-19 en statistiques dans le monde et par pays. ,INFOS/DATA,,INITIATIVE/APP,STAT,NR,,https://worldcoronavirus.org/,,,,,,,NA,NA,NA,INTERNATIONAL,https://cdn.ko-fi.com/cdn/useruploads/1ff1d5f0-0c68-4147-a340-9e4cfe6ba950.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
68,worldometers.info,Coronavirus Live Update Stats.Le Covid-19 en statistiques dans le monde et par pays. ,INFOS/DATA,,INITIATIVE/APP,STAT,NR,,https://www.worldometers.info/coronavirus,,,,,,,NA,NA,NA,INTERNATIONAL,https://www.worldometers.info/img/worldometers-logo.gif,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
69,COVID-19 Tracker For Pakistan,COVID 19 Tracker For Pakistan. Le Covid-19 en statistiques au Pakistan.,INFOS/DATA,,INITIATIVE/APP,STAT,NR,,https://pakistan-covid19.herokuapp.com/,,,,,,,NA,NA,NA,PAKISTAN,https://pakistan-covid19.herokuapp.com/static/media/pakistan-flag.aa4a4f23.jpg,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
70,Help with COVID,COVID-19 projects looking for volunteers. recherche de volontaire spour des projets d'entraide.,HELP/SANTE,,INITIATIVE/APP,ENTRAIDE,NR,,https://helpwithcovid.com/,,,,,,,NA,NA,NA,,https://scontent.fmad7-1.fna.fbcdn.net/v/t1.0-9/91309961_102636178061214_5924816039467548672_n.jpg?_nc_cat=103&_nc_sid=e3f864&_nc_oc=AQkfUXL3UjR_afb_VJTfQ16ADcl64dZjXv6f1XCDnsUgg7CUFl9iYgCC68Ji6TK7aXM&_nc_ht=scontent.fmad7-1.fna&oh=3ae6f574698e0b8b5a947963695173ef&oe=5EA92F09,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
71,Maladie Coronavirus,Questionnaire médicale sur le coronavirus.,HELP/SANTE,,INITIATIVE/APP,INFO,NR,,https://maladiecoronavirus.fr/,,,,,,,NA,NA,NA,NA,https://maladiecoronavirus.fr/static/svg/icon-binocular-magnifier.svg,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,fr,JPy,NR,,OUI,
72,Freerider Factory - RESERVE D’IMPRESSION 3D,Plateforme de mise en relation entre des établissement de santé ayant des besoins en équipement et des fabricants volontaires ayant une ou plusieur imprimante.s 3D. En enregistrant vos imprimantes dans le registre de la Réserve Citoyenne d’Impression 3D vous pourrez être mis en relation avec des établissements de santé en manque d’approvisionnement proches de chez vous.,HELP/SANTE,,INITIATIVE/APP,MISE_RELATION,NR,,https://3d.freerider-factory.fr/,,,,,,,NA,NA,NA,FRANCE,https://3d.freerider-factory.fr/wp-content/uploads/sites/5/2020/03/Logo-Miniature-FF.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,fr,JPy,NR,,OUI,
73,MIT - Rapid Innovation Dashboard - Covid19 ,Information  resources  and opportunities for the MIT Community to rapidly activate and engage in urgent problem-solving on Covid-19/Coronavirus Disease. Tableau de bord du MIT pour des inopvations rapides. ,HELP/SANTE,,INITIATIVE/APP,MAKERS,NR,,https://innovation.mit.edu/rapid_inno_dash_c19/,,,,,,,NA,NA,NA,ETATS-UNIS,https://innovation.mit.edu/assets/dash-1100x365.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
74,COVID19 - Hub des initiatives tech,Le Conseil national du numérique recense les initiative tech contre le COVID19,NUMERIQUE,,INITIATIVE/APP,MAKERS,NR,,https://covid19.cnnumerique.fr/,,,,,,,NA,NA,NA,FRANCE,https://covid19.cnnumerique.fr/logo-cnnum.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
75,App-Elles,L'application solidaire des femmes et des filles victimes de violences.,HELP/NUMERIQUE,,INITIATIVE/APP,ENTRAIDE,NR,,https://www.app-elles.fr/,,,,,,,NA,NA,NA,FRANCE,https://cheekmagazine.fr/wp-content/uploads/2018/03/mobile-5.jpg,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
76,United Makers Forum,Plateforme d'échange et d'entraide entre offre et demande de solutions pour combattre le COVID19 par l'ingéniosité locale.,HELP/SANTE,,INITIATIVE/DIY,MAKERS,NR,,https://www.unitedmakers.net/forum/index.php,,,,,,,,,,,https://www.unitedmakers.net/forum/images/logo.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,,,,,,,
77,Genome Covid,Génome du Covid,HELP/SANTE,,INITIATIVE/RECHERCHE,INFO,NR,,https://www.ncbi.nlm.nih.gov/nuccore/MN908947.3,,,,,,,NA,NA,NA,INTERNATIONAL,https://upload.wikimedia.org/wikipedia/commons/c/c8/NIH_Master_Logo_Vertical_2Color.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,NON,
78,Research Data Alliance,,HELP/SANTE,,INITIATIVE/RECHERCHE,INFO,NR,RDA,https://www.rd-alliance.org/node/68704/posts,,,,,,,NA,NA,NA,INTERNATIONAL,https://www.rd-alliance.org/,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,en,JPy,NR,,OUI,
79,Solidarité Numérique,Les ressources qui figurent sur ce site permettent d’apporter une première aide aux personnes qui n’ont pas l’habitude d’utiliser certains services en ligne essentiels. Elles ont été proposées par des médiateurs volontaires et par des organisations qui sont engagées en faveur de l’inclusion numérique. Ce recensement n'a pas de visée promotionnelle ou exhaustive mais vise à proposer en urgence des réponses aux questions et besoins des Français. Vous pouvez nous écrire à contact@solidarite-numerique.fr.,HELP,,INITIATIVE/APP,ENTRAIDE,NR,,https://solidarite-numerique.fr/,,,,,,,NA,NA,NA,FRANCE,https://solidarite-numerique.fr/images/illus/illu_solidnum.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,fr,JPy,NR,,OUI,
80,Protection de l'enfance SOS Covid,Protection de l'enfance  plateforme de lancement d'alertes.,HELP/SANTE,,INITIATIVE/APP,ENTRAIDE,NR,,https://docs.google.com/forms/d/e/1FAIpQLSdUZJOfDisde9-3jbXdD6BqrNbfBItXgZw65MZHkaofvkjEiw/viewform,,,,,,,NA,NA,NA,FRANCE,https://lh4.googleusercontent.com/RlCtBlGxK5Y0ntJL-5MZCpg77L5VL9oe6pSBnN_Nn5q8F0BMsnabmlNuxTWMLWSJyIMm7JaUnMk2ueT92b2Zt5lNj9sD1FoKQsbX7THd4T2bYYBvyV5dDZJ76xff=w1024,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,fr,CG,NR,,OUI,
81,Besoins des hôpitaux exprimés par les urgentistes,"Identification des besoins des hôpitaux spécifiques exprimés par les urgentistes & pistes de solutions DIY correspondantes 
Projet JOGL",HELP/SANTE,,INITIATIVE/APP,MISE_RELATION,NR,,https://docs.google.com/document/d/1UB8_c-Xx3FDolE4zQbZfv08ZKCrxr5Cf5jNI06XgU_A/edit,,,,,,,NA,NA,NA,FRANCE,https://app.jogl.io/static/media/default-project.f2906f52.jpg,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,fr,CG,NR,,OUI,
82,Utopia Maker,Plateforme de mise en relation. Vous voulez agir ou vous avez besoin d’aide  indiquez ce que vous souhaitez offrir ou recevoir et connectez-vous à un des relais Utopiamaker  la personne qui facilitera votre démarche.,HELP/SANTE,,INITIATIVE/APP,MISE_RELATION/ENTRAIDE,NR,,https://fr.utopiamaker.com/,,,,,,,NA,NA,NA,FRANCE,https://fr.utopiamaker.com/m3duto/inc/logo_um_orange.png,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,fr,CG,NR,,OUI,
83,Groupement de la Filière Mode et Luxe,"ce groupement professionnels a trois objectifs :(1) définir des modèles de masques anti-projection a destination de divers professionnels en activité; (2) Coordonner tous les ateliers  les fournisseurs matières et fournitures pour fabriquer ces modèle dans des volumes importants; (3) Centraliser les demandes de ces masques ""Anti projection simple""",HELP/SANTE,,INITIATIVE/APP,MISE_RELATION,NR,,https://www.csfmodeluxe-masques.com/,,,,,,,NA,NA,NA,FRANCE,https://www.csfmodeluxe-masques.com/uploads/1/2/9/1/129160673/published/mode-et-luxe-logo3-bleu-marine.jpeg?1584560817,,https://github.com/soroushchehresa/awesome-coronavirus/blob/master/README.md,oui,fr,,NR,,OUI,
84,Volontaires APHP,Bonjour  je m'appelle Aude Nyadanu  je travaille au siège de l'AP-HP (Assistance publique - hôpitaux de Paris) et je centralise les propositions d'aide de citoyens volontaires pour nous soutenir pendant la crise Covid19.,HELP/SANTE,,INITIATIVE/APP,ENTRAIDE,NR,,https://docs.google.com/forms/d/e/1FAIpQLSfH5ifamfWaTqXuO5ShT7kjleTBSAel_0GbI1d1A8Xkwlt1Yw/viewform,,,,,,,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,,,,fr,JPy,NR,,OUI,
85,Renfort Covid,Epidémie de Covid-19 : étudiants  professionnels  actifs ou retraités  mobilisez vos compétences pour venir en renfort du système de santé !,HELP/SANTE,,INITIATIVE/APP,ENTRAIDE,NR,,https://www.renfort-covid.fr/,,,,,,,NA,NA,NA,FRANCE,https://static.wixstatic.com/media/e05e0f_37c60ac4db5f4355b87a3157555ba460~mv2.png/v1/fill/w_754 h_106 al_c q_85 usm_0.66_1.00_0.01/Bande1_logos_site.webp,,,,fr,JPy,NR,,OUI,
86,Talenteo / en première ligne,En première ligne : inventer de nouvelles solidarités face à l’épidémie,HELP,,INITIATIVE/APP,ENTRAIDE,NR,Talenteo,https://www.talenteo.fr/solidarites-premiere-ligne-reserve-covid/,,,,,,,NA,NA,NA,FRANCE,https://www.talenteo.fr/app/uploads/2020/03/black-and-white-connected-hands-love-265702-1600x692.jpg,,,,fr,JPy,NR,,OUI,
87,Covidon,covidon est un site de mise en relation entre personnes vulnérables (ou leurs familles) et volontaires prêts à apporter leur aide aux résidents de leur quartier ou secteur. BÉNÉVOLEMENT.,HELP,,INITIATIVE/APP,ENTRAIDE,NR,,https://covidon.fr/,,,,,,,NA,NA,NA,FRANCE,https://covidon.fr/wp-content/uploads/2020/03/logo-covidon-dark.png,,,,fr,JPy,NR,,OUI,
88,MOUVES,"Pour être aux côté des entrepreneurs à Impact social et environnemental  plus que jamais en première ligne face à la plus grande crise sanitaire du pays  le MOUVES se réorganise entièrement.
Notre mot d’ordre dans cette période difficile et qui fragilise durement nos entreprises : ne jamais rester seuls face aux épreuves et faire agir plus que jamais les valeurs de solidarité et d’entraide qui portent notre mouvement. Pour cela  la Help Room du MOUVES est réalisée en partenariat avec Tech for Good France.
",HELP/FINANCE,,INITIATIVE/APP,ENTRAIDE,NR,French Impact,http://mouves.org/nos-programmes/solidaires-pas-solitaires-information-coronavirus/,,,,,,,NA,NA,NA,FRANCE,http://mouves.org/Mouves2015/wp-content/uploads/2019/03/mouves-logo-horizontal-white.png,,https://www.le-frenchimpact.fr/nos-actualites/entraide/aide-aux-entreprises,,fr,JPy,NR,,OUI,
89,FINACOOP,Ce document est ouvert en mode Commentaires et en Creative Commons à tout le monde. Aussi  n’hésitez pas à ajouter vos commentaires pour demander des clarifications  proposer des bonifications  corrections  ou pour poser des questions complémentaires.Il est alimenté par une dizaine d’experts (experts-comptables  avocats  comptables  juristes  …) du matin au soir pendant toute la crise sanitaire. ,HELP/FINANCE,,INITIATIVE/APP,ENTRAIDE,NR,French Impact,https://docs.google.com/document/d/1fp5XZxD2uNh_tWC5fYou0TraWACtYLAOdOvDgD1IB_k/edit,,,,,,,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,,https://www.le-frenchimpact.fr/nos-actualites/entraide/aide-aux-entreprises,,fr,JPy,NR,,OUI,
90,BPI France,Pour soutenir les entreprises dont l’activité est impactée par le coronavirus  Bpifrance a mis en place une série de mesures et un accès dédié pour les renseigner et les orienter pour traiter leurs problèmes de trésorerie. ,HELP/FINANCE,,INITIATIVE/APP,ENTRAIDE,NR,French Impact,https://www.bpifrance.fr/A-la-une/Actualites/Coronavirus-Bpifrance-active-des-mesures-exceptionnelles-de-soutien-aux-entreprises-49113?fbclid=IwAR1FZxZ5Wc10P-uua4WrTcKJYO-ZKvKCCVzOZkgdFZ_Tv8O83sEFnTKv1IY&utm_source=MAKESENSE+FOR+ENTREPRENEURS&utm_campaign=f991971c65-EMAIL_CAMPAIGN_2020_01_24_02_52_COPY_01&utm_medium=email&utm_term=0_8729f2ba6f-f991971c65-211156689&mc_cid=f991971c65&mc_eid=16d257f3ae,,,,,,,NA,NA,NA,FRANCE,https://www.bpifrance.fr/bundles/bpifrancegeneral/images/layout/bpifrance-logo.png,,https://www.le-frenchimpact.fr/nos-actualites/entraide/aide-aux-entreprises,,fr,JPy,NR,,OUI,
91,France Active,France Active se mobilise pour vous aider à surmonter la crise liée à l’épidémie du COVID 19 : des solutions concrètes pour anticiper la reprise de votre activité.,HELP/FINANCE,,INITIATIVE/APP,ENTRAIDE,NR,French Impact,https://www.franceactive.org/actualites/france-active-a-vos-cotes-face-a-la-crise/,,,,,,,NA,NA,NA,FRANCE,https://www.franceactive.org/wp-content/uploads/2017/10/logo.png,,https://www.le-frenchimpact.fr/nos-actualites/entraide/aide-aux-entreprises,,fr,JPy,NR,,OUI,
92,Phenix,Face au Coronavirus  Phenix rend son application anti-gaspi 100% gratuite pour les commerçants ,HELP/FINANCE,,INITIATIVE/APP,ENTRAIDE,NR,French Impact,https://wearephenix.com/blog/professionnels/soutien-aux-commercants-coronavius-phenix-rend-son-application-anti-gaspi-gratuite/,,,,,,,NA,NA,NA,FRANCE,https://wearephenix.com/wp-content/uploads/2020/03/commercant-de-proximite-face-au-coronavirus.png,,https://www.le-frenchimpact.fr/nos-actualites/entraide/aide-aux-entreprises,,fr,JPy,NR,,OUI,
93,French Impact, En ces temps difficiles pour vous et vos bénéficiaires  nous organisons un relais pour toutes les offres de service possibles qui peuvent développer l’entraide ! Vos bénéficiaires sont souvent les premiers concernés par les mesures de confinement (handicapés  personnes âgées  jeunes  précaires  …). Vous êtes nombreux à devoir inventer des façons nouvelles de travailler.,HELP,,INITIATIVE/APP,ENTRAIDE,,,https://www.le-frenchimpact.fr/nos-actualites/entraide,,,,,,,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_entraide_2.png,,https://www.le-frenchimpact.fr/nos-actualites/entraide,,fr,JPy,NR,,OUI,
94,Culture chez nous, Chacun est invité à rester chez soi pour éviter la propagation du virus Covid-19. C'est l'occasion de découvrir l'exceptionnelle offre culturelle numérique proposée par le ministère de la Culture et ses nombreux opérateurs. ,LOISIRS,,INITIATIVE/APP,INFO,NR,,https://www.culture.gouv.fr/Culturecheznous,,,,,,,NA,NA,NA,FRANCE,https://www.culture.gouv.fr/var/culture/storage/images/_aliases/reference/4/7/6/4/3104674-1-fre-FR/RS-YOUTUBE.jpg,,,,fr,JPy,NR,,OUI,
95,Covodovenivi.ci,"Covidi Veni Vici is a wiki about initiatives relating to the covid-19 pandemia and to pandemia in general  in the fields of aid  history  sociology  data  funding  software  hardware  art... It references also books and persons who are publicy engaged  terms  and can be browsed by country. It is organized as an hypergraph similarly to the Wikidata encyclopedia  while mixing structured and unstructured data together. Its content is waived via the Creative Commons Zero license  is stored in a Git repository and is presented / editable on this web site via the Babouk open source software. VI .CI is mostly meant to be a wink at: geeky domain names ; Africa ; continuous integration / interdependency of humans  bats  Earth  stars... ; an impossible ""victory"" ; dots. Contributions for now require requesting an account via Twitter at @covidivenivici and are anonymous until a Git connector is implemented (April).",HELP,,INITIATIVE/APP,INFO,NR,,https://covidivenivi.ci/,,,,,,,NA,NA,NA,INTERNATIONAL,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_info_2.png?raw=true,,,,en,JPy,NR,,NON,
96,Visières solidaires,"Cette plateforme vise à : (1) Recenser les personnes ayant à disposition une imprimante 3D (""makers"").
(2) Recenser les besoins urgents en visière sur le territoire
(3) Les mettre en relation afin d'organiser les livraisons",HELP/DIY,,INITIATIVE/APP,MISE_RELATION/VISIERE,INDIVIDU,,https://visieresolidaire.org/fr/,,,,,,,NA,NA,NA,FRANCE,https://visieresolidaire.org/css/favicon.png,,Mail sur la boite contact@covid-initiatives.fr,,fr,CG,NR,,OUI,
97,3D Covid APHP, CONCEVOIR - VALIDER - FABRIQUER - DISTRIBUER - COMBATTRE LE VIRUS ,NUMERIQUE/SANTE/DIY,,INITIATIVE/APP/MAKERS,MAKERS,INSTITUTION,APHP,http://covid3d.org/,,,,,,,NA,NA,NA,FRANCE,http://covid3d.org/assets/landing/landing-logo-cb2dfba56b373f04f5e31a4e5f9eafbc11892b4d043cb369c436e881fd89a514.png,,,,fr,JPy,NR,,OUI,
98,Masques du Nord,« Des Masques en Nord » est une initiatives d’acteurs du Nord qui souhaitent  sous le contrôle du CHU de Lille  faire leur part en mettant en place une solution co-construite de fabrication et de distribution de masques tissus  lavables et réutilisables  à destination des soignants.,NUMERIQUE/SANTE/DIY,,INITIATIVE/APP/MAKERS,MAKERS,NR,,http://des-masques-en-nord.fr/,,,,,,,NA,NA,NA,FRANCE,http://des-masques-en-nord.fr/wp-content/uploads/2020/03/Bandeau-allong%C3%A9.jpg,,France info,,fr,JPy,NR,,OUI,
99,Resistance Covid,Nous sommes un groupe de techniciens passionnés d'informatique provenant de plusieurs régions d'Europe. Nous travaillons sur la mise en place d'un protocole d'impression 3D permettant de subvenir au besoins présents et futurs du personnel soignant face au Covid19,NUMERIQUE/SANTE/DIY,,INITIATIVE/APP/MAKERS,MAKERS,NR,,https://resistancecovid.com/,,,,,,,NA,NA,NA,FRANCE,https://resistancecovid.com/img/banner-bg.png,,,,fr,JPy,NR,,OUI,
100,Les visières de l'espoir,"– OPERATION A BUT NON LUCRATIF – LES VISIÈRES SONT 100% GRATUITES –
Déjà plus de 12000 demandes de visières de protection pour protéger nos héros en blouses blanches dans leur combat contre le COVID-19
",NUMERIQUE/SANTE/DIY,,INITIATIVE/APP/MAKERS,MAKERS,NR,,https://www.3dnatives.com/urgence-covid19/,,,,,,,NA,NA,NA,FRANCE,https://www.3dnatives.com/wp-content/uploads/Logo_FullWith_Tes2-e1585298865205.png,,,,fr,JPy,NR,,OUI,01/04/2020
101,L’UTBM fabrique des équipements de protection pour l’hôpital,"L’université de technologie Belfort-Montbéliard (UTBM) était mobilisable. La voici mobilisée pour l’hôpital Nord-Franche-Comté. L’établissement hospitalier a validé la production de deux produits  dont les prototypes ont été conçus en un temps record  ce week-end. L’un est une visière de protection  l’autre un embout s’adaptant à un masque de plongée. Pour protéger les soignants.
",NUMERIQUE/SANTE/DIY,,INITIATIVE/APP/MAKERS,MAKERS,NR,,https://letrois.info/a-la-une/lutbm-fabrique-des-equipements-de-protection-pour-lhopital/,,,,,,,NA,NA,NA,FRANCE,https://letrois.info/wp-content/uploads/2020/03/Capture-d%E2%80%99e%CC%81cran-2020-03-30-a%CC%80-20.18.14.png,,,,fr,JPy,NR,,OUI,01/04/2020
102,Covid-moi un lit," Lits de réanimation COVID-19

Première application dédiée aux professionnels de santé à la recherche d’un lit de réanimation pour leurs malades COVID+. ",NUMERIQUE/SANTE,,INITIATIVE/APP,AUTRE,NR,,https://covid-moi-un-lit.com/,,,,,,,NA,NA,NA,FRANCE,https://covid-moi-un-lit.com/images/cover-min-sm.jpg,,A VERIFIER !,,fr,JPy,NR,,OUI,01/04/2020
103,Volumic (éprouvettes d'analyse du COVID-19) imprimées en 3D,"VOLUMIC 3D travaille en étroite collaboration
avec les autorités de santé et les laboratoires
sur des solutions imprimées en 3D pour répondre en urgence aux
besoins vitaux sur de l'accessoire médical
et du matériel d’analyse.

 Les sollicitations sont actuellement nombreuses et nous tenons à mettre
l’accent sur l’approche et la validation de l'encadrement médical.",NUMERIQUE/SANTE/DIY,,INITIATIVE/APP/MAKERS,MAKERS,NR,,https://www.imprimante-3d-volumic.com/fr/news/2-news/1564-covid19-recherche.cfm,,,,,,,NA,NA,NA,FRANCE,,,https://www.lemonde.fr/planete/article/2020/03/31/respirateurs-protections-pour-les-soignants-l-impression-3d-mobilisee-contre-le-coronavirus_6035086_3244.html,,fr,JPy,NR,,OUI,01/04/2020
104,Ne sortez pas,Liste des liens gratuitts pendant la pandémie,NUMERIQUE/LOISIRS,,INITIATIVE,INFO,NR,,https://nesortezpas.com/,,,,,,,NA,NA,NA,FRANCE,,,Slack EIG,,fr,JPy,NR,,OUI,01/04/2020
105,Me porter volontaire,Vous souhaitez ajouter une initiative ? Contactez-nous ou contribuez sur notre github !,NUMERIQUE/HELP,,INITIATIVE,ENTRAIDE,,,https://design.numerique.gouv.fr/covid-19/#initiatives,,,,,,,NA,NA,NA,FRANCE,https://design.numerique.gouv.fr/assets/static/logoMDGB.b82b75d.d01e3c9fa23cb6a40eba06fa3c784589.svg,,Slack EIG,,fr,JPy,NR,,OUI,01/04/2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Visière V6b - Shields - visieresolidaire ,,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.facebook.com/groups/2454266324886624/,,,,,,,,,,,https://scontent.fcdg1-1.fna.fbcdn.net/v/t1.0-9/90065494_10157233101938450_6169243702024732672_n.jpg?_nc_cat=106&_nc_sid=825194&_nc_ohc=2cTuqM-A3_YAX8t8__l&_nc_ht=scontent.fcdg1-1.fna&oh=f818a6a67caed863273cb27ed7028d91&oe=5EA2D6B4,en 0.28 plusieur encoche sont trop épaisse et rien ne passe dedans,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,fr,,NR,,NON,04/02/2020
2,visière V8B,,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.facebook.com/groups/2454266324886624/permalink/2455279604785296/,,,,,,,,,,,https://scontent.fcdg1-1.fna.fbcdn.net/v/t1.0-9/90065494_10157233101938450_6169243702024732672_n.jpg?_nc_cat=106&_nc_sid=825194&_nc_ohc=2cTuqM-A3_YAX8t8__l&_nc_ht=scontent.fcdg1-1.fna&oh=f818a6a67caed863273cb27ed7028d91&oe=5EA2D6B4,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,fr,,NR,,NON,04/02/2020
3,NewShield: Visière anti-Eclaboussures (COVID19) ,,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.myminifactory.com/object/3d-print-115185,,,,,,,,,,,https://cdn.myminifactory.com/assets/object-assets/5e7b239bc73cf/images/720X720-newshield.jpg,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,fr,,NR,,NON,04/02/2020
4,Visière Prusa - Version de base,,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.prusaprinters.org/prints/25857-prusa-protective-face-shield-rc2,,,,,,,,,,,https://media.prusaprinters.org/thumbs/cover/640x480/media/prints/25857/images/261613_7194822b-d479-4c81-b71a-1308a86ca866/stit_bij.jpg,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,fr,,NR,,NON,04/02/2020
5,Visière Prusa - Version allégée,,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.prusaprinters.org/prints/26568-protection-allegee,,,,,,,,,,,https://media.prusaprinters.org/thumbs/cover/640x480/media/prints/26568/images/266659_2ec05536-6ebd-4c5e-88c9-5af137271228/20200323_173816.jpg,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,fr,,NR,,NON,04/02/2020
6,"Visière Prusa - Remix -""#resistancecovid""",,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,"
https://www.prusaprinters.org/prints/26427-prusa-protective-face-shield-rc1-rc2-remix-rc3-eas",,,,,,,,,,,https://pbs.twimg.com/media/ETzBaroXQAEBQ4Q?format=jpg&name=large,Lien vers le projet référent: https://twitter.com/Resistancecovid,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,fr,,NR,,NON,04/02/2020
