Bonne pratique,Organisation,Contacts et sources,Où agir ?,A quoi ca sert ?,Visuel d'appel à contribution,Dans une ville / région en particulier ?
Distribution de paniers locaux,LA MANDRAGORE,https://www.facebook.com/lamandragoregrainedalternatives/photos/a.516325648459763/2888343911257913/?type=3&eid=ARD9-0ZWXN7oh1rpSada1LNljVQ1HNZp-CJg5b9ZuKH8f8O1WYURasfUeqDZoH1csjWUK7MTYQFy1Uno&__xts__[0]=68.ARBowbMZGIsC1b_B5jre4q4Dv7_ME809n8x9_k5-ZMjTRMkPhRCxBtjHSnw_cH6vSc5jGNksb0cBSJ4g9PWlkChT2RyolM7UquoiYEyI9btyXL7DUp6FJQb4fI9fXLMrNTPDA4YPWj962qUbBlgUjYFF0BflXvhC-PcR_tAjY_a1VDAKcdjC1eMGzQJA6H5ykPh9CPvQHxrXhGQKOHTu797lKg_4vNxoyctIkM7airRYweW-fKUkqPFtUddJQXlJDgvwbDg01kzXGRF9Eb8LRZ6SQ3Y4tWQ530SzdmvrRHMFlp896wh7FGP7h_YxXg80VSHJbYi6B_KAe2WUWM42&__tn__=EEHH-R&hc_location=ufi,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
"Une boutique bio local et vrac, très bien achalandé, la boutique déborde de victuailles, elles ont mis en place un système de commandes à distance via un doc Word",CONSOTOPIA,https://www.facebook.com/Consotopia/,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Informations sur les réseaux en circuits courts et vente directe et épicerie ambulante,CONFEDERATION PAYSANNE,https://www.confederationpaysanne.fr/actu.php?id=9905&fbclid=IwAR2p53-zy1nVWh8Oa0FUcZez9a7GbxkJ7PUechT-ci3Y4wklk_SkxjDhF10#.Xntp5oi8_h4.email,Depuis chez soi,aider l'agriculture vivrière responsable,,
Outil pour aider les producteurs à mettre leurs infos en commun,CAGETTE,https://www.cagette.net/kit-durgence-producteurs-covid19/?fbclid=IwAR38bWVLBjv9Qs3fg7w0TP8t1kkG4tstoJ_kIJ1ncz0kQbCtbhaKr2G7AUE,Depuis chez soi,aider l'agriculture vivrière responsable,,
Faire ses courses en ligne auprès de producteurs,SITES DIVERS,https://www.lemonde.fr/m-le-mag/article/2020/03/30/douze-sites-pour-faire-son-marche-en-ligne_6034966_4500055.html?fbclid=IwAR0VxAiB9QPzjjkrVCj9p5JKffIviz0nkD0I1v0ucw45vQFEgCl1pri6N2A,Depuis chez soi,aider l'agriculture vivrière responsable,,
Partage de pratiques pour vente en Amap,RESEAU AMAP,"http://amap-aura.org/bonnes-pratiques-coronavirus/
https://semestriel.framapad.org/p/9fky-afrrrzglwf?lang=fr
",Depuis chez soi,aider l'agriculture vivrière responsable,,
Cartographie participative des circuits-courts ,CIVAM DU GARD,"https://circuitscourts.gogocarto.fr/annuaire#/carte/@43.83,4.37,10z?cat=all
https://circuitscourts.gogocarto.fr/",Depuis chez soi,aider l'agriculture vivrière responsable,,Gard
CEM - Chantiers Ecologiques Massifs,ETIKA MONDO,"cem@etikamondo.com
www.chantiers-écologiques-massifs.fr ",Aux alentours de chez soi,aider l'agriculture vivrière responsable,Appel aux CEM.pdf (https://dl.airtable.com/.attachments/12361f87650cca984b6bdbf1c25af4e0/1751fd71/AppelauxCEM.pdf),Partout en France
Aller travailler dans des exploitations agricoles: des bras pour ton assiette,WIZIFARM,"https://desbraspourtonassiette.wizi.farm
http://www.anefa.org/sites/default/files/CP-Une-solution-de-recrutement-pour-lagriculture-COURTINE-Sylvie-FNSEA-1-1-1.pdf
",Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Cagnotte pour aider des agriculteurs,LEETCHI,https://www.leetchi.com/c/soutien-aux-exploitants-agricoles-impactes-par-le-covid-19?fbclid=IwAR1LvukLT8K5a9oPoXxfDV1R9Mt4pSHZaGM16FPRqhYkNcA79YAWrIbzE5A,Depuis chez soi,aider l'agriculture vivrière responsable,,
Trouver des producteurs locaux,REPORTERRE,https://reporterre.net/Fermeture-des-marches-les-paysans-lancent-une-carte-des-alternatives?fbclid=IwAR3gk-JVM7oEPL4DoMc2u4cAusa45v9aZYAWjggSr4OG6QvOOeONdWoymtw,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Trouver des producteurs locaux,LES AUTRES POSSIBLES,https://lesautrespossibles.fr/confinement-courses-nourriture-produits-locaux/?fbclid=IwAR05Rzp_4oCwaFxEhJTAMHAyYmQBHj7SuoilHKkK-psWz3lcR6fcT7LGU-Q,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Nantes
Plateforme pour mettre en lien professionnels de l'alimentaire et producteurs locaux,VIA TERROIRS,viaterroirs.com,Depuis chez soi,aider l'agriculture vivrière responsable,,
S'approvisionner / faire ses courses en circuit court + manger local ,PRODUCTEURS LOCAUX DU 76,"Département de la Seine-Maritime
Hôtel du Département
Quai Jean Moulin, CS 56101
76101 ROUEN CEDEX
Tel : 02 35 03 55 55 
https://www.monpanier76.fr/producteurs-locaux/",Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Seine Maritime (76)
Soutenir l'agriculture paysanne ,TERROIRS D'AVENIR,http://www.terroirs-avenir.fr/qui-sommes-nous/les-debuts/,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,
Mettez tous vos producteurs dans le même panier afin de manger sainement tout en favorisant votre économie locale ,DU WEB A L'ASSIETTE,https://www.duwebalassiette.fr/,Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Yvelines
Consommer local,REGION NORMANDIE,"https://normandie-rollon.fr/
",Aux alentours de chez soi,aider l'agriculture vivrière responsable,,Normandie
Acheter des plants de légumes ou d'aromates,FAUT PAS POUSSER MEME DANS LES ORTIES,https://m.facebook.com/melanielavigne.paysagiste.botaniste/?ref=page_internal&mt_nav=0,Depuis chez soi,aider l'agriculture vivrière responsable,,Lille
,,,,aider l'agriculture vivrière responsable,,
,,,,aider l'agriculture vivrière responsable,,
,,,,aider l'agriculture vivrière responsable,,
Acheter ses légumes locaux,Ou acheter local ,Ou acheterlocal.fr,Depuis chez soi,aider l'agriculture vivrière responsable,,Hauts de France 
Vente de semences bio,Kokopelli,https://kokopelli-semences.fr/fr/,Depuis chez soi,aider l'agriculture vivrière responsable,,En france
Acheter local,Ferme direct,https://ferme.direct/toutes-les-fermes/,Depuis chez soi,aider l'agriculture vivrière responsable,,France
